name,body,transmission,fuel
"Hyundai Reina1.4 GL AT

P688,000",Sedan,Automatic,Gasoline
"Kia Soluto1.4 LX MT

P625,000 Promo Available",Sedan,Manual,Gasoline
"Kia Soluto1.4 LX AT

P675,000",Sedan,Automatic,Gasoline
"Kia Soluto1.4 EX MT

P685,000",Sedan,Manual,Gasoline
"Kia Soluto1.4 EX AT

P735,000",Sedan,Automatic,Gasoline
"Subaru Forester2.0i-L CVT

P1,348,000 Promo Available",SUV,Automatic,Gasoline
"Subaru Forester2.0i-P CVT

P1,598,000 Promo Available",SUV,Automatic,Gasoline
"Subaru Forester2.0XT CVT

P1,868,000 Promo Available",SUV,Automatic,Gasoline
"Subaru Forester2.0i-L non-EyeSight

P1,598,000 Promo Available",SUV,Automatic,Gasoline
"Subaru Forester2.0i-L EyeSight

P1,698,000 Promo Available",SUV,Automatic,Gasoline
"Subaru Forester2.0i-S EyeSight

P1,798,000 Promo Available",SUV,Automatic,Gasoline
"Suzuki ErtigaGA 1.5 MT

P728,000",MPV,Manual,Gasoline
"Suzuki ErtigaGL 1.5 MT

P848,000",MPV,Manual,Gasoline
"Suzuki ErtigaGL 1.5 AT

P888,000",MPV,Automatic,Gasoline
"Suzuki ErtigaGLX 1.5 AT

P978,000",MPV,Automatic,Gasoline
"Toyota Camry2.5 G AT

P1,821,000",Sedan,Automatic,Gasoline
"Toyota Camry2.5 G AT White Pearl

P1,836,000",Sedan,Automatic,Gasoline
"Toyota Camry2.5 V AT

P2,007,000",Sedan,Automatic,Gasoline
"Toyota Camry2.5 V AT White Pearl

P2,022,000",Sedan,Automatic,Gasoline
"Lexus RCRC 350 V6

P3,898,000",Coupe,Automatic,Gasoline
"Lexus RCRC F

P5,708,000",Coupe,Automatic,Gasoline
"Lexus RCRC F V8 Carbon Package

P5,968,000",Coupe,Automatic,Gasoline
"Hyundai Accent1.4 GL MT (w/o Airbags)

P790,000",Sedan,Manual,Gasoline
"Hyundai Accent1.4 GL MT (w/ Airbags)

P838,000",Sedan,Manual,Gasoline
"Hyundai Accent1.4 GL AT (w/o Airbags)

P838,000",Sedan,Automatic,Gasoline
"Hyundai Accent1.4 GL AT (w/ Airbags)

P890,000",Sedan,Automatic,Gasoline
"Hyundai Accent1.6 CRDi MT

P910,000",Sedan,Manual,Diesel
"Hyundai Accent1.6 CRDi AT

P1,038,000",Sedan,Automatic,Diesel
"Bentley Continental GTGT V8 Coupe

Ask price",Coupe,Automatic,Gasoline
"Bentley Continental GTGT V8 Convertible

Ask price",Convertible,Automatic,Gasoline
"Bentley Continental GTGT V8 S Convertible

Ask price",Convertible,Automatic,Gasoline
"Bentley Continental GTGT Speed Coupe

Ask price",Coupe,Automatic,Gasoline
"Bentley Continental GTGT Coupe

Ask price",Coupe,Automatic,Gasoline
"Bentley Continental GTGT Convertible

Ask price",Convertible,Automatic,Gasoline
"Bentley Continental GTGT Speed Convertible

Ask price",Convertible,Automatic,Gasoline
"Bentley Continental GTGT V8 S Coupe

Ask price",Coupe,Automatic,Gasoline
"Lexus UX200

P2,478,000",SUV,Automatic,Gasoline
"Lexus UX200 F Sport

P3,048,000",SUV,Automatic,Gasoline
"Mercedes-Benz A-Class180 Progressive

P2,490,000 Promo Available",Wagon/Hatchback,Automatic,Gasoline
"Mercedes-Benz A-Class200 Progressive

P2,990,000 Promo Available",Wagon/Hatchback,Automatic,Gasoline
"Mercedes-Benz A-Class200 Edition

P3,290,000 Promo Available",Wagon/Hatchback,Automatic,Gasoline
"Mitsubishi Strada2.5 GLX 4x2 MT

P1,165,000 Promo Available",Pickup,Manual,Diesel
"Mitsubishi Strada2.4 GLS 4x2 MT

P1,225,000 Promo Available",Pickup,Manual,Diesel
"Mitsubishi Strada2.4 GLS 4x2 AT

P1,300,000 Promo Available",Pickup,Automatic,Diesel
"Mitsubishi Strada2.4 GLS 4x4 MT

P1,445,000 Promo Available",Pickup,Manual,Diesel
"Mitsubishi StradaGT 4x4 AT

P1,670,000 Promo Available",Pickup,Automatic,Diesel
