name,body,transmission,fuel
"Audi Q52.0 TFSI S Line

Ask price",SUV,Automatic,Gasoline
"Audi Q52.0 TDI Design

Ask price",SUV,Automatic,Diesel
"Audi Q52.0 TFSI Design

Ask price",SUV,Automatic,Gasoline
"Volvo XC60T5 8-Speed Geartronic

Ask price",SUV,Automatic,Gasoline
"Volvo XC60D4 8-speed Geartronic

Ask price",SUV,Automatic,Diesel
"Volvo XC60D4 R-Design 8-speed Geartronic

Ask price",SUV,Automatic,Diesel
"Nissan X-Trail2.0 4x2 CVT

P1,534,000",SUV,Automatic,Gasoline
"Nissan X-Trail2.5 4x4 CVT

P1,820,000",SUV,Automatic,Gasoline
"Subaru XVXV 2.0i CVT

P1,418,000 Promo Available",SUV,Automatic,Gasoline
"Subaru XV2.0i-S CVT

P1,618,000 Promo Available",SUV,Automatic,Gasoline
"Subaru XV2.0i-S CVT with EyeSight

P1,668,000 Promo Available",SUV,Automatic,Gasoline
"Mercedes-Benz GLA-ClassAMG 45 4MATIC

P3,090,000 Promo Available",Wagon/Hatchback,Automatic,Gasoline
"Mercedes-Benz GLA-Class180 AT

P2,790,000 Promo Available",Wagon/Hatchback,Automatic,Gasoline
"Lexus LCLC500

P9,708,000",Coupe,Automatic,Gasoline
"Honda CR-V2.0 S CVT

P1,668,000 Promo Available",SUV,Automatic,Gasoline
"Honda CR-V1.6 V Diesel 9AT

P1,868,000 Promo Available",SUV,Automatic,Diesel
"Honda CR-V1.6 S Diesel 9AT

P1,858,000 Promo Available",SUV,Automatic,Diesel
"Honda CR-V1.6 SX Diesel 9AT AWD

P2,138,000 Promo Available",SUV,Automatic,Diesel
"Kia Picanto1.0 LX MT

P590,000 Promo Available",Wagon/Hatchback,Manual,Gasoline
"Kia Picanto1.0 LX AT

P635,000",Wagon/Hatchback,Automatic,Gasoline
"Kia Picanto1.2 EX MT

P700,000",Wagon/Hatchback,Manual,Gasoline
"Kia Picanto1.2 EX AT

P745,000",Wagon/Hatchback,Automatic,Gasoline
"Audi A8L 3.0 TDI Quattro

Ask price",Sedan,Automatic,Diesel
"Audi A8L 3.0 TFSI Quattro

Ask price",Sedan,Automatic,Gasoline
"BAIC FreedomSingle Cab & Chasis Drop Side

P488,000",Truck,Manual,Gasoline
"BAIC FreedomSingle Cab & Chasis Aircon

P518,000",Truck,,
"BAIC MZ40/MZ45MZ40 Cargo

P488,000",Van,Manual,Gasoline
"BAIC MZ40/MZ45MZ40 Luxury

P498,000",Van,Manual,Gasoline
"BAIC MZ40/MZ45MZ45 11-seater Basic Transporter

P598,000",Van,Manual,Gasoline
"Kia Sorento2.2 EX AT 4x2

P1,895,000 Promo Available",MPV,Automatic,Diesel
"Kia Sorento2.2 EX AT 4x4

P2,195,000",Mini,Automatic,Diesel
"Audi Q2Q2 Design

P2,780,000",SUV,Automatic,Gasoline
"Audi Q2Q2 S Line

P3,150,000",SUV,Automatic,Gasoline
"Chevrolet Trax1.4 LS AT

P1,185,888 Promo Available",SUV,Automatic,Gasoline
"Chevrolet Trax1.4 LT AT

P1,535,888 Promo Available",SUV,Automatic,Gasoline
"BMW 5 Series520d Luxury

P4,950,000",Sedan,Automatic,Diesel
"BMW 5 Series520d M Sport

P5,390,000",Sedan,Automatic,Diesel
"BMW 5 Series530d Luxury

P7,390,000",Sedan,Automatic,Diesel
"Lexus CT200h

P2,348,000",Wagon/Hatchback,Automatic,Hybrid
"Lexus CT200h F SPORT

P3,068,000",Wagon/Hatchback,Automatic,Hybrid
"Honda City1.5 E MT

P828,000 Promo Available",Sedan,Manual,Gasoline
"Honda City1.5 E CVT

P876,000 Promo Available",Sedan,Automatic,Gasoline
"Honda City1.5 VX Navi CVT

P985,000 Promo Available",Sedan,Automatic,Gasoline
"Honda City1.5 VX+ Navi CVT

P1,068,000 Promo Available",Sedan,Automatic,Gasoline
"Kia RioHatchback 1.4 LX AT

P920,000",Wagon/Hatchback,Automatic,Gasoline
"Kia RioHatchback 1.4 EX AT

P985,000",Wagon/Hatchback,Automatic,Gasoline
"Honda Jazz1.5 V MT

P868,000 Promo Available",Wagon/Hatchback,Manual,Gasoline
"Honda Jazz1.5 V CVT

P918,000 Promo Available",Wagon/Hatchback,Automatic,Gasoline
"Honda Jazz1.5 VX Navi CVT

P998,000 Promo Available",Wagon/Hatchback,Automatic,Gasoline
"Honda Jazz1.5 RS Navi CVT

P1,088,000 Promo Available",Wagon/Hatchback,Automatic,Gasoline
"MINI Countryman2.0 D AT

P3,250,000",Wagon/Hatchback,Automatic,Diesel
"MINI Countryman2.0 SD AT

P3,700,000",Wagon/Hatchback,Automatic,Diesel
"MINI Countryman2.0 SD ALL4 AT

P3,850,000",Wagon/Hatchback,Automatic,Diesel
"MINI Countryman2.0 JCW AT

P4,550,000",Wagon/Hatchback,Automatic,Diesel
"MINI Countryman2.0 S Pure

P3,250,000",Wagon/Hatchback,Automatic,Gasoline
"MINI Countryman2.0 S Sport

P3,850,000",Wagon/Hatchback,Automatic,Gasoline
"Nissan UrvanCargo MT

P1,158,000",Van,Manual,Diesel
"Nissan UrvanUrvan Shuttle 15-Seater MT

P1,436,000",Van,Manual,Diesel
"Nissan UrvanUrvan 18-Seater MT

P1,449,000",Van,Manual,Diesel
"Nissan UrvanCargo (Special Color)

P1,168,000",Van,Manual,Diesel
"Nissan UrvanShuttle 15-seater (Special Color)

P1,446,000",Van,Manual,Diesel
"Nissan Urvan18-Seater (Special Color)

P1,459,000",Van,Manual,Diesel
"Nissan UrvanPremium MT

P1,776,000",Van,Manual,Diesel
"Nissan UrvanPremium AT

P1,836,000",Van,Automatic,Diesel
"Mazda BT-502.2 4x2 MT

P1,350,000",Pickup,Manual,Diesel
"Mazda BT-502.2 4x2 AT

P1,395,000",Pickup,Automatic,Diesel
"Mazda BT-503.2 4x4 AT

P1,550,000",Pickup,Automatic,Diesel
"Chevrolet Spark1.4 LT MT

P694,888 Promo Available",Wagon/Hatchback,Manual,Gasoline
"Chevrolet Spark1.4 LT CVT

P734,888 Promo Available",Wagon/Hatchback,Automatic,Gasoline
"Chevrolet Spark1.4 LTZ CVT

P859,888 Promo Available",Wagon/Hatchback,Automatic,Gasoline
"Dodge ChallengerSRT

P4,250,000",Coupe,Automatic,Gasoline
"Dodge ChallengerSRT Hellcat

P6,350,000",Coupe,Automatic,Gasoline
"Volkswagen Tiguan1.4 TSI Comfortline DSG

P1,648,000 Promo Available",SUV,Automatic,Gasoline
"Aston Martin DB11Coupe 5.2L V12

Ask price",Coupe,Automatic,Gasoline
"Aston Martin DB11Coupe 4.0L V8

Ask price",Coupe,Automatic,Gasoline
"Isuzu D-MAXLS 4x2 MT X-Series Black Hawk

P1,355,000 Promo Available",Pickup,Manual,Diesel
"Isuzu D-MAXLS 4x2 AT X-Series Freestyle White

P1,420,000 Promo Available",Pickup,Automatic,Diesel
"Isuzu D-MAX3.0 LS 4x4 MT

P1,630,000 Promo Available",Pickup,Manual,Diesel
"Isuzu D-MAX3.0 LS 4x4 AT

P1,700,000 Promo Available",Van,Automatic,Diesel
"Isuzu D-MAXSingle Cab and Chassis Blue Power

P857,000 Promo Available",Pickup,Manual,Diesel
"Isuzu D-MAXLT 4x2 MT

P987,000 Promo Available",Pickup,Manual,Diesel
"Isuzu D-MAXLT 4x4 MT

P1,288,000 Promo Available",Pickup,Manual,Diesel
"Isuzu D-MAX3.0 LS 4x2 AT

P1,390,000 Promo Available",Pickup,Automatic,Diesel
"Isuzu D-MAX3.0 LS 4x2 MT

P1,320,000 Promo Available",Pickup,Manual,Diesel
"Isuzu D-MAXRZ4E LS 4x2 MT

P1,209,000 Promo Available",Pickup,Manual,Diesel
"Isuzu D-MAXRZ4E LS 4x2 AT

P1,279,000 Promo Available",Pickup,Automatic,Diesel
"Isuzu D-MAX3.0L LS 4x2 MT BOONDOCK

P1,390,000 Promo Available",Pickup,Manual,Diesel
"Isuzu D-MAX3.0L LS 4x2 AT BOONDOCK

P1,455,000 Promo Available",Pickup,Automatic,Diesel
"Subaru Impreza2.0i-Sport

P1,458,000",Sedan,Automatic,Gasoline
"Honda Mobilio1.5L E MT

P895,000 Promo Available",MPV,Manual,Gasoline
"Honda Mobilio1.5L RS Navi CVT

P1,085,000 Promo Available",MPV,Automatic,Gasoline
"Honda Mobilio1.5L V AT

P968,000 Promo Available",MPV,Automatic,Gasoline
"Nissan JUKE1.6 Upper CVT

P1,021,000",SUV,Automatic,Gasoline
"BAIC H5 BayanihanClosed Van

P733,000",Truck,Manual,Diesel
"BAIC H5 BayanihanCab & Chassis MT

P638,000",Truck,Manual,Diesel
"BAIC H5 BayanihanPassenger Van single AC

P773,000",Truck,Manual,Diesel
"BAIC H5 BayanihanPassenger Van dual AC

P814,000",Truck,Manual,Diesel
"BAIC H5 BayanihanDropside flatbed

P668,000",Truck,Manual,Diesel
"Haima M31.5 Comfort MT

P579,000",Sedan,Manual,Gasoline
"Haima M31.5 Elite CVT

P699,000",Sedan,Automatic,Gasoline
"Maserati Levante350

Ask price",SUV,Automatic,Gasoline
"Maserati LevanteS 430

Ask price",SUV,Automatic,Gasoline
"Maserati LevanteDiesel 275

Ask price",SUV,Automatic,Diesel
"Porsche 718 BoxsterS PDK

Ask price",Convertible,Automatic,Gasoline
"Porsche 718 BoxsterPDK

Ask price",Convertible,Automatic,Gasoline
"Porsche 718 CaymanPDK

Ask price",Coupe,Automatic,Gasoline
"Porsche 718 CaymanS PDK

Ask price",Coupe,Automatic,Gasoline
"Suzuki Multicab/CarryPickup MT

P489,000",Pickup,Manual,Diesel
"Suzuki Multicab/CarryCarry Cargo Van

P539,000",Van,Manual,Diesel
"Suzuki Multicab/CarryUtility Van MT

P580,000",Van,Manual,Diesel
"Volvo S90D4 M/T

Ask price",Sedan,Manual,Diesel
"Volvo S90D4 A/T

Ask price",Convertible,Automatic,Diesel
"Volvo S90T4 M/T

Ask price",Sedan,Manual,Gasoline
"Volvo S90T4 A/T

Ask price",Sedan,Automatic,Gasoline
"Volvo S90T6 A/T

Ask price",Sedan,Automatic,Gasoline
"BYD S72.0 GS-i

P1,648,000",SUV,Automatic,Gasoline
"Mahindra EnforcerSingle Cab 4x2 Standard

P665,000",Pickup,Manual,Diesel
"Mahindra EnforcerSingle Cab 4x2 Floodbuster

P680,000",Pickup,Manual,Diesel
"Mahindra EnforcerDouble Cab 4x2 Standard

P725,000",Pickup,Manual,Diesel
"Mahindra EnforcerDouble Cab 4x2 Floodbuster

P740,000",Pickup,Manual,Diesel
"Mahindra EnforcerSingle Cab 4x4 Standard

P780,000",Pickup,Manual,Diesel
"Mahindra EnforcerSingle Cab 4x4 Floodbuster

P795,000",Pickup,Manual,Diesel
"Mahindra EnforcerSingle Cab 4x2 Elite

P820,000",Pickup,Manual,Diesel
"Mahindra EnforcerDouble Cab 4x4 Standard

P860,000",Pickup,Manual,Diesel
"Mahindra EnforcerDouble Cab 4x4 Floodbuster

P875,000",Pickup,Manual,Diesel
"Mahindra EnforcerDouble Cab 4x2 Elite

P895,000",Pickup,Manual,Diesel
"Suzuki Alto800 Standard

P445,000",Wagon/Hatchback,Manual,Gasoline
"Audi R85.2 V10 Plus Quattro

Ask price",Coupe,Automatic,Gasoline
"Audi A42.0 Tdi S-tronic

Ask price",Sedan,Automatic,Diesel
"Mercedes-Benz V-ClassV 220 CDI Sports Avantgarde Long

P4,390,000",Van,Automatic,Diesel
"Mercedes-Benz V-ClassV 220 CDI Sports Avantgarde Extra Long

P4,790,000",Van,Automatic,Diesel
"Mazda CX-32.0 AWD Activ AT

P1,480,000",SUV,Automatic,Gasoline
"Mazda CX-32.0 FWD 4x2 AT

P1,280,000",SUV,Automatic,Gasoline
"Mazda CX-32.0 FWD Sport AT

P1,380,000",SUV,Automatic,Gasoline
"Nissan GT-R3.8 V6 AT

P7,350,000",Coupe,Automatic,Gasoline
"Toyota Prius1.8 Hybrid AT

P2,289,000",Sedan,Automatic,Hybrid
"Toyota Prius1.8 Hybrid AT (White Pearl)

P2,304,000",Sedan,Automatic,Hybrid
"Audi A53.2 FSI Quattro

P4,480,000",Coupe,Automatic,Gasoline
"Toyota 862.0 MT

P1,993,000",Coupe,Manual,Gasoline
"Toyota 862.0 MT (White Pearl)

P2,008,000",Coupe,Manual,Gasoline
"Toyota 862.0 AT

P2,093,000",Coupe,Automatic,Gasoline
"Toyota 862.0 AT (White Pearl)

P2,109,000",Coupe,Automatic,Gasoline
"Chevrolet Trailblazer2.5 MT 4x2 LT

P1,618,888 Promo Available",SUV,Manual,Diesel
"Chevrolet Trailblazer2.8 AT 4x2 LT

P1,704,888 Promo Available",SUV,Automatic,Diesel
"Chevrolet Trailblazer2.8 AT 4x4 Z71

P1,998,888 Promo Available",SUV,Automatic,Diesel
"Chevrolet Trailblazer2.8 AT 4x2 LTX

P1,805,888 Promo Available",SUV,Automatic,Diesel
"BAIC M201.5 8-seater Comfort MT

P578,000",MPV,Manual,Gasoline
"BAIC M201.5 7-seater Ultra Luxury MT

P598,000",Van,Manual,Gasoline
"Mitsubishi PajeroGLS 3.2 4x4 AT

P3,000,000 Promo Available",SUV,Automatic,Diesel
"Nissan Sylphy1.6 MT

P908,000",Sedan,Manual,Gasoline
"Nissan Sylphy1.6 CVT

P993,000",Sedan,Automatic,Gasoline
"Nissan Sylphy1.8 CVT

P1,052,000",Sedan,Automatic,Gasoline
"Bentley MulsanneV8

Ask price",Sedan,Automatic,Gasoline
"Bentley MulsanneV8 Speed

Ask price",Sedan,Automatic,Gasoline
"Bentley MulsanneV8 Extended Wheelbase

Ask price",Sedan,Automatic,Gasoline
"Chevrolet Sail1.3 LT

P791,888",Sedan,Manual,Gasoline
"Chevrolet Sail1.5 LT

P865,888",Sedan,Automatic,Gasoline
"Chevrolet Sail1.5 LTZ

P917,888 Promo Available",Sedan,Automatic,Gasoline
"Mercedes-Benz E-ClassE 200 Exclusive

P4,390,000 Promo Available",Sedan,Automatic,Gasoline
"Mercedes-Benz E-ClassE 200 Avantgarde

P4,390,000 Promo Available",Sedan,Automatic,Gasoline
"Mercedes-Benz E-ClassE 200 AMG-Line

P4,790,000 Promo Available",Sedan,Automatic,Gasoline
"Honda Accord2.4 S Navi

P1,938,000 Promo Available",Sedan,Automatic,Gasoline
"Honda Accord3.5 SV Navi

Ask price",Sedan,Automatic,Gasoline
"Mitsubishi MirageGLX MT

P699,000 Promo Available",Wagon/Hatchback,Manual,Gasoline
"Mitsubishi MirageGLX CVT

P760,000 Promo Available",Wagon/Hatchback,Automatic,Gasoline
"Honda Civic1.8 E CVT

P1,185,000 Promo Available",Sedan,Automatic,Gasoline
"Honda Civic1.5 RS Turbo CVT

P1,608,000 Promo Available",Sedan,Automatic,Gasoline
"Honda Civic1.8 S CVT

P1,115,000 Promo Available",Sedan,Automatic,Gasoline
"Suzuki Ciaz1.4 GL MT

P823,000",Sedan,Manual,Gasoline
"Suzuki Ciaz1.4 GL AT

P873,000",Sedan,Automatic,Gasoline
"Suzuki Ciaz1.4 GLX AT

P978,000",Sedan,Automatic,Gasoline
"Ssangyong Rodius2.0 ELX 4x4 AT

P1,690,000",SUV,Automatic,Diesel
"Toyota Innova2.0 J MT Gas

P1,025,000",MPV,Manual,Gasoline
"Toyota Innova2.8 J MT Diesel

P1,133,000",MPV,Manual,Diesel
"Toyota Innova2.0 E MT Gas

P1,177,000",MPV,Manual,Gasoline
"Toyota Innova2.0 E AT Gas

P1,247,000 Promo Available",MPV,Automatic,Gasoline
"Toyota Innova2.8 E MT Diesel

P1,249,000",MPV,Manual,Diesel
"Toyota Innova2.8 E AT Diesel

P1,319,000",MPV,Automatic,Diesel
"Toyota Innova2.0 G AT Gas

P1,319,000",MPV,Automatic,Gasoline
"Toyota Innova2.8 G MT Diesel

P1,451,000",MPV,Manual,Diesel
"Toyota Innova2.8 G MT Gas White Pearl

P1,466,000",MPV,Manual,Diesel
"Toyota Innova2.8 G AT Diesel

P1,521,000",MPV,Automatic,Diesel
"Toyota Innova2.8 G AT Diesel White Pearl

P1,536,000",MPV,Automatic,Diesel
"Toyota Innova2.8 V AT Diesel

P1,679,000",MPV,Automatic,Diesel
"Toyota Innova2.8 V AT Diesel White Pearl

P1,694,000",MPV,Automatic,Diesel
"Toyota Innova2.8 Touring Sport Diesel AT

P1,390,000",MPV,Automatic,Diesel
"Toyota Innova2.8 Touring Sport Diesel MT

P1,320,000",MPV,Manual,Diesel
"MINI Clubman1.5 Cooper AT

P2,950,000",Wagon/Hatchback,Automatic,Gasoline
"MINI Clubman2.0 Cooper S AT

P3,450,000",Wagon/Hatchback,Automatic,Gasoline
"MINI Clubman2.0 JCW Clubman AT

P4,350,000",Wagon/Hatchback,Automatic,Gasoline
"BMW 7 Series730Li

P8,890,000",Sedan,Automatic,Gasoline
"BMW 7 Series740Li

P10,490,000",Sedan,Automatic,Gasoline
"Porsche 911Carrera S Cabriolet

Ask price",Convertible,Automatic,Gasoline
"Porsche 911Carrera

Ask price",Coupe,Automatic,Gasoline
"Porsche 911Carrera S

Ask price",Coupe,Automatic,Gasoline
"Mitsubishi Montero SportGLX 2.4 4x2 MT

P1,499,000 Promo Available",SUV,Manual,Diesel
"Mitsubishi Montero SportGLS 2.4 4x2 AT

P1,719,000 Promo Available",SUV,Automatic,Diesel
"Mitsubishi Montero SportGLS Premium 2.4 4x2 AT

P1,849,000 Promo Available",SUV,Automatic,Diesel
"Mitsubishi Montero SportGT 2.4 4x4 AT

P2,164,000 Promo Available",SUV,Automatic,Diesel
"Mitsubishi Montero SportGLS 2.4 4x2 AT Black Series

P1,800,000 Promo Available",SUV,Automatic,Diesel
"Mitsubishi Montero SportGLS 2.4 4x2 AT Black Series (White Pearl)

P1,815,000 Promo Available",SUV,Automatic,Diesel
"Toyota Fortuner2.4 G Diesel 4x2 MT

P1,607,000",SUV,Manual,Diesel
"Toyota Fortuner2.7 G Gas 4x2 AT

P1,612,000",SUV,Automatic,Gasoline
"Toyota Fortuner2.4 G Diesel 4x2 AT

P1,697,000",SUV,Automatic,Diesel
"Toyota Fortuner2.4 V Diesel 4x2 AT

P1,921,000",SUV,Automatic,Diesel
"Toyota Fortuner2.4 V Diesel 4x2 AT (White Pearl)

P1,936,000",SUV,Automatic,Diesel
"Toyota Fortuner2.8 V Diesel 4x4 AT

P2,260,000 Promo Available",SUV,Automatic,Diesel
"Toyota Fortuner2.8 V Diesel 4x4 AT (White Pearl)

P2,275,000",SUV,Automatic,Diesel
"Toyota Fortuner2.4 TRD 4x2 AT

P1,791,000",SUV,Automatic,Diesel
"Toyota Fortuner2.4 TRD 4x2 AT (White Pearl)

P1,806,000",SUV,Automatic,Diesel
"BMW M2M2 Coupé

P5,590,000",Coupe,Automatic,Gasoline
"Audi Q73.0 TDI

Ask price",SUV,Automatic,Diesel
"Audi Q73.0 TDI-S

Ask price",SUV,Automatic,Diesel
"Ferrari 488GTB 3.9 V8

Ask price",Coupe,Automatic,Gasoline
"Ferrari 488Spider 3.9 V8

Ask price",Convertible,Automatic,Gasoline
"TATA Super AceCab and Chassis

P579,000",Van,Manual,Diesel
"TATA Super AceDrop Side Load Body

P654,000",Van,Manual,Diesel
"TATA Super AceAluminum Body

P661,000",Van,Manual,Diesel
"TATA Super Ace""Big Boy"" Passenger Van (Single AC)

P687,000",Van,Manual,Diesel
"TATA Super Ace""Big Boy"" Passenger Van (Dual AC)

P725,000",Van,Manual,Diesel
"TATA Super AceSchool Service (Dual AC)

P834,000",Van,Manual,Diesel
"Hyundai Elantra1.6 GL AT

P1,065,000",Sedan,Automatic,Gasoline
"Hyundai Elantra1.6 GL MT

P970,000",Sedan,Manual,Gasoline
"Lexus GSGS 450h

P4,888,000",Sedan,Automatic,Gasoline
"Lexus GSGS 350 F-Sport

P5,228,000",Sedan,Automatic,Gasoline
"Lexus GSGS F

P7,678,000",Sedan,Automatic,Gasoline
"Peugeot 308GTi

Ask price",Wagon/Hatchback,Manual,Gasoline
"Peugeot 308Station Wagon Allure

P1,790,000",Wagon/Hatchback,Automatic,Diesel
"Peugeot 308Hatchback GT Line

P1,890,000",Wagon/Hatchback,Automatic,Diesel
"Mercedes-Benz GLS-Class350D 4MATIC

Ask price",SUV,Automatic,Diesel
"Mercedes-Benz GLS-Class400 4MATIC

Ask price",SUV,Automatic,Gasoline
"Mercedes-Benz GLS-ClassAMG 63

Ask price",SUV,Automatic,Gasoline
"Nissan Almera1.2 MT (Euro 4)

P657,000",Sedan,Manual,Gasoline
"Nissan Almera1.5 E MT (Euro 4)

P735,000",Sedan,Manual,Gasoline
"Nissan Almera1.5 E AT (Euro 4)

P824,000",Sedan,Automatic,Gasoline
"Nissan Almera1.5 V AT (Euro 4)

P900,000",Sedan,Automatic,Gasoline
"Nissan Almera1.5 VL AT (Euro 4)

P933,000",Sedan,Automatic,Gasoline
"Nissan Almera1.5 N-Sport AT

Ask price",Sedan,Automatic,Gasoline
"Nissan Almera1.5 N-Sport MT

Ask price",Sedan,Manual,Gasoline
"Lexus LX570

P8,548,000",SUV,Automatic,Gasoline
"Lexus RX450h

P4,948,000",SUV,Automatic,Hybrid
"Lexus RX350 Standard

P4,128,000",SUV,Automatic,Gasoline
"Lexus RX350 F Sport

P4,798,000",SUV,Automatic,Gasoline
"Audi TT2.0 TFSI

Ask price",Coupe,Automatic,Gasoline
"Toyota Land Cruiser200 4.5L AT

P4,474,000",SUV,Automatic,Diesel
"Toyota Land Cruiser200 4.5L AT White Pearl

P4,404,000",SUV,Automatic,Diesel
"Toyota Land Cruiser200 Premium 4.5L AT

P4,840,000",SUV,Automatic,Diesel
"Toyota Land Cruiser200 Premium 4.5L AT White Pearl

P4,855,000",SUV,Automatic,Diesel
"Jaguar XEPrestige

Ask price",Sedan,Automatic,Gasoline
"Jaguar XER-Sport

Ask price",Sedan,Automatic,Gasoline
"Toyota Land Cruiser Prado4.0 V6 Gas AT

P3,273,000",SUV,Automatic,Gasoline
"Toyota Land Cruiser Prado4.0 V6 Gas AT White Pearl

P3,288,000",SUV,Automatic,Gasoline
"Toyota Land Cruiser Prado3.0 Diesel MT

P3,911,000",SUV,Manual,Diesel
"Toyota Land Cruiser Prado3.0 Diesel MT White Pearl

P3,926,000",SUV,Manual,Diesel
"Toyota Land Cruiser Prado3.0 Diesel AT

P3,986,000",SUV,Automatic,Diesel
"Toyota Land Cruiser Prado3.0 Diesel AT White Pearl

P4,026,000",SUV,Automatic,Diesel
"Volkswagen Passat2.0 TSI DSG Business Edition AID

P2,759,000 Promo Available",Sedan,Automatic,Gasoline
"Mercedes-Benz CLA-ClassCLA 250

Ask price",Sedan,Automatic,Gasoline
"Mercedes-Benz CLA-ClassCLA 45 AMG 4MATIC

Ask price",Sedan,Automatic,Gasoline
"Mercedes-Benz Mercedes-AMG GTAMG GT S

Ask price",Coupe,Automatic,Gasoline
"Kia Sportage2.0L 4x2 LX AT Dsl

P1,545,000",SUV,Automatic,Diesel
"Kia Sportage2.0L 4x2 EX AT Dsl

P1,820,000",SUV,Automatic,Diesel
"Kia Sportage2.0L 4x2 LX AT Gas

P1,290,000 Promo Available",SUV,Automatic,Gasoline
"Subaru Legacy2.5i-S CVT

P1,898,000 Promo Available",Sedan,Automatic,Gasoline
"Subaru Legacy3.6R-S CVT

P2,208,000 Promo Available",Sedan,Automatic,Gasoline
"Chrysler 300/300C300C V6

P3,550,000",Sedan,Automatic,Gasoline
"Suzuki CelerioMT

P558,000 Promo Available",Wagon/Hatchback,Manual,Gasoline
"Suzuki CelerioCVT

P598,000 Promo Available",Wagon/Hatchback,Automatic,Gasoline
"Land Rover Discovery Sport2.2L SD4 HSE Diesel

Ask price",SUV,Automatic,Diesel
"Land Rover Discovery Sport2.2L SD4 SE Diesel

Ask price",SUV,Automatic,Diesel
"Land Rover Discovery Sport2.0L Si4 SE Diesel

Ask price",SUV,Automatic,Diesel
"Land Rover Discovery Sport2.2L TD4 S Diesel

Ask price",SUV,Automatic,Diesel
"Land Rover Discovery Sport2.0L Si4 S Diesel

Ask price",SUV,Automatic,Diesel
"BMW X6xDrive30d M Sport

P8,490,000",SUV,Automatic,Diesel
"Mahindra XyloE2 5-seater

P830,000",SUV,Manual,Diesel
"Mahindra XyloE2 9-seater

P895,000",SUV,Manual,Diesel
"Mahindra XyloE8

P940,000",SUV,Manual,Diesel
"Haima S51.6 Elite MT

P829,000",SUV,Manual,Gasoline
"Haima S51.6 Noble MT

P899,000",SUV,Manual,Gasoline
"Haima S51.5 Turbo Elite CVT

P979,000",SUV,Automatic,Gasoline
"Haima S51.5 Turbo Noble CVT

P1,099,000",SUV,Automatic,Gasoline
"Haima S51.6 Deluxe MT

P799,000",SUV,Manual,Gasoline
"Mazda Mazda6Sedan 2.2 SkyActiv-D AT

P2,250,000",Sedan,Automatic,Diesel
"Mazda Mazda6Sedan 2.5 SkyActiv-G AT

P2,250,000",Sedan,Automatic,Gasoline
"Mazda CX-52.0 FWD Pro

P1,680,000",SUV,Automatic,Gasoline
"Mazda CX-52.0 FWD Pro Soul Red Crystal

P1,702,400",SUV,Automatic,Gasoline
"Mazda CX-52.5 AWD Sport

P1,980,000",SUV,Automatic,Gasoline
"Mazda CX-52.5 AWD Sport Soul Red Crystal

P2,002,400",SUV,Automatic,Gasoline
"Mazda CX-52.2 AWD SkyActiv-D

P2,230,000",SUV,Automatic,Diesel
"Mazda CX-52.2 AWD Sport SkyActiv-D Soul Red Crystal

P2,252,400",SUV,Automatic,Diesel
"BMW X1xDrive20d xLine

P3,690,000",SUV,Automatic,Diesel
"Lamborghini AventadorLP 700-4

Ask price",Coupe,Manual,Gasoline
"Chevrolet Suburban5.3 4x2 LT

P4,852,888",SUV,Automatic,Gasoline
"Chevrolet Suburban5.3 4x4 LTZ

P5,338,888",SUV,Automatic,Gasoline
"Ford EverestAmbiente 2.2 4x2 MT

P1,521,000 Promo Available",SUV,Manual,Diesel
"Ford EverestAmbiente 2.2 4x2 AT

P1,581,000 Promo Available",SUV,Automatic,Diesel
"Ford EverestTitanium 2.2 4x2 AT

P1,918,000",SUV,Automatic,Diesel
"Ford EverestTitanium 3.2 4x4 Premium Package

P2,288,000",SUV,Automatic,Diesel
"Ford EverestTitanium 2.2 4x2 Premium Package AT

P2,058,000",SUV,Automatic,Diesel
"Ford EverestTrend 2.2 4x2 AT

P1,718,000",SUV,Automatic,Diesel
"Kia Carnival / Grand CarnivalGrand Carnival 2.2 LX AT 11-Seater

P1,995,000",Van,Automatic,Diesel
"Kia Carnival / Grand CarnivalGrand Carnival 2.2 EX AT 11-Seater

P2,180,000 Promo Available",Van,Automatic,Diesel
"Kia Carnival / Grand CarnivalGrand Carnival 2.2 EX AT 7-Seater

P2,295,000",Van,Automatic,Diesel
"Rolls-Royce GhostV12 AT

Ask price",Sedan,Automatic,Gasoline
"Rolls-Royce GhostExtended Wheelbase V12 AT

Ask price",Sedan,Automatic,Gasoline
"Haima FStarDouble Cab 1.2L MT

Ask price",Pickup,Manual,Gasoline
"Mitsubishi L200Cab and Chassis

P802,000",Pickup,Manual,Diesel
"Toyota Alphard3.5 AT

P3,680,000",MPV,Automatic,Gasoline
"Toyota Alphard3.5 AT (Luxury White Pearl)

P3,695,000",Van,Automatic,Gasoline
"Lamborghini HuracanLP 610-4

Ask price",Coupe,Automatic,Gasoline
"Jaguar F-TypeCoupe S

Ask price",Coupe,Automatic,Gasoline
"Jaguar F-TypeCoupe R

Ask price",Coupe,Automatic,Gasoline
"Jaguar F-TypeConvertible 3.0 V6

Ask price",Convertible,Automatic,Gasoline
"Jaguar F-TypeConvertible S

Ask price",Convertible,Automatic,Gasoline
"Jaguar F-TypeConvertible S V8

Ask price",Convertible,Automatic,Gasoline
"Honda Brio Amaze1.3 E MT

P668,000",Sedan,Manual,Gasoline
"Honda Brio Amaze1.3 S AT

P728,000",Sedan,Automatic,Gasoline
