brand,model,transmission,fuel_type,Year of Manufacture,mileage_in_km,color,plate_no,price,location
Chevrolet,Trailblazer,Automatic,Diesel,2016,29000,Red,CS# WC9108 (WITHOUT PLATES),975000,Taguig
Chevrolet,Trailblazer,Manual,Diesel,2014,49000,Switchblade Silver,[SALE] ABM 2265,831000,QC
Chevrolet,Trailblazer,Manual,Diesel,2016,43000,Summit White,[SALE] CS# WD1129 (WITHOUT PLATES),985000,QC
Chevrolet,Trailblazer,Automatic,Diesel,2013,246000,Olympic White,WQC 742,692000,QC
Chevrolet,Trailblazer,Automatic,Diesel,2016,3000,Red,[SALE] CS# WD2076 (WITHOUT PLATES),1385000,Bacolod
Chevrolet,Trailblazer,Automatic,Diesel,2016,54000,Summit White,CS# WD0533 (WITHOUT PLATES),948000,QC
Chevrolet,Trax,Automatic,Gasoline,2017,13000,Switch Blade Silver,CS# WD8514 (WITHOUT PLATES),778000,QC
Chevrolet,Trax,Automatic,Gasoline,2018,4000,Gray Metallic,CS# WE2174 (WITHOUT PLATES),1065000,QC
Chevrolet,Trax,Automatic,Gasoline,2016,23000,White Metallic,[SALE] ABI 3797,857000,QC
Ford,Ecosport,Automatic,Gasoline,2016,40000,Mars Red,[SALE] ACS 5542 (WITHOUT PLATES),682000,YMCA (Manila)
Ford,Ecosport,Automatic,Gasoline,2016,7000,Winning Blue,[SALE] CS# IL0439 (WITHOUT PLATES),708000,QC
Ford,Ecosport,Automatic,Gasoline,2017,48000,Brisbane Brown,CS# IO0228 (WITHOUT PLATES),724000,Panabo
Ford,Ecosport,Manual,Gasoline,2017,26000,Ingot Silver,[SALE] CS# C0M506 (WITHOUT PLATES),618000,Koronadal
Ford,Ecosport,Manual,Gasoline,2016,17000,Red Candy,[SALE] CS# IL0543 (WITHOUT PLATES),554000,QC
Ford,Ecosport,Automatic,Gasoline,2017,26000,Black,[SALE] CS# IO3712 (WITHOUT PLATES),703000,QC
Ford,Escape,Automatic,Gasoline,2015,87000,Tuxedo Black,[SALE] NCF 5937,788000,QC
Ford,Escape,Automatic,Gasoline,2013,31000,Diamond White,[SALE] WSQ 813,426000,QC
Ford,Everest,Manual,Diesel,2016,110000,White,CS# IJ5558 (WITHOUT PLATES),874000,Panabo City
Chrysler,300C,Automatic,Gasoline,2013,65000,Bright Silver Metallic Clear,[SALE] CS# ZX4976 (WITHOUT PLATES),1598000,QC
Ford,Ecosport,Automatic,Gasoline,2017,19000,Mars Red,CS# IP1200 (WITHOUT PLATES),735000,QC
Ford,Ecosport,Automatic,Gasoline,2016,28000,Frozen White,CS# IK4306 (WITHOUT PLATES),634000,Davao
Ford,Ecosport,Automatic,Gasoline,2017,26000,Absolute Black,[SALE] CS# CO1839 (WITHOUT PLATES),671000,QC
Ford,Ecosport,Manual,Gasoline,2015,46000,Frozen White,CS# II8298 (WITHOUT PLATES),479000,Cagayan De Oro
Ford,Ecosport,Manual,Gasoline,2016,37000,Phanter Black,ABP 6512,533000,QC
Ford,Ecosport,Automatic,Gasoline,2016,30000,Frozen White,[SALE] CS# IL4579 (WITHOUT PLATES),639000,QC
Ford,Escape,Automatic,Gasoline,2015,45000,Tuxedo Black,[SALE] CS# IJ0440 (WITHOUT PLATES),852000,Panabo
Ford,Escape,Automatic,Gasoline,2010,157000,Black,[SALE] KEL 784,320000,Panabo City
Ford,Everest,Automatic,Diesel,2017,31000,Aluminum Metallic,NDG 3761,1300000,QC
Ford,Explorer,Automatic,Gasoline,2014,53000,Deep Impact Blue,ATA 3200,1278000,QC
Ford,Fiesta,Manual,Gasoline,2014,66000,Ice Blue,AAB 4993,267000,QC
Ford,Fiesta,Automatic,Gasoline,2015,60000,Frozen White,CS# II3708 (WITHOUT PLATES),373000,QC
Ford,Fiesta,Automatic,Gasoline,2016,16000,Frozen White,CS# IM0162 (WITHOUT PLATE),370000,QC
Ford,Fiesta,Automatic,Gasoline,2013,49000,Arctic White,WBO 734,196000,QC
Ford,Fiesta,Manual,Gasoline,2014,,Black Mica,AAN 3964,224000,Gen. Santos
Ford,Focus,Automatic,Gasoline,2008,74000,Silver,ZSE 599,155000,QC
Ford,Ranger,Automatic,Diesel,2015,29000,Aluminum Metallic,FDM 7847,900000,Bacolod
Ford,Ranger,Automatic,Diesel,2018,8000,Pride Orange,CS# C1 R903 (WITHOUT PLATES),1193000,QC
Ford,Ranger,Automatic,Diesel,2018,7000,Absolute Black,CS# C0 Y803 (WITHOUT PLATES),1150000,Bacolod
Ford,Explorer,Automatic,Gasoline,2015,70000,White Platinum,[SALE] ABD 7819,1422000,QC
Ford,Fiesta,Automatic,Gasoline,2014,65000,Arctic white,AAM 4334,341000,QC
Ford,Fiesta,Automatic,Gasoline,2012,65000,Black Mica,TEN 26,234000,QC
Ford,Fiesta,Automatic,Gasoline,2016,27000,Phanter Black,CS# IL6768 (WITHOUT PLATES),447000,QC
Ford,Fiesta,Automatic,Gasoline,2014,46000,Metropolitan Gray,AAZ 6900,330000,Cebu
Ford,Fiesta,Automatic,Gasoline,2014,43000,Black,CS# IG9302 (WITHOUT PLATES)CS# IG9302 (WITHOUT PLATES)CS# IG9302 (WITHOUT PLATES),120000,Bacolod
Ford,Focus,Automatic,Gasoline,2013,93000,Brisbane Brown,WQG 615,351000,QC
Ford,Ranger,Manual,Diesel,2015,82000,Aurora Blue,CS# IJ4625 (WITHOUT PLATES),841000,Bacolod
Ford,Ranger,Manual,Diesel,2016,34000,White,ACS 1467,1129000,QC
Ford,Ranger,Manual,Diesel,2015,18000,Cool White,AAG 4604,852000,Panabo
Ford,Ranger,Manual,Diesel,2013,61000,Cool White,UOG 515,677000,Panabo City
Ford,Ranger,Automatic,Diesel,2013,154000,Highlight Silver,BOY 06,650000,QC
Foton,Gratour,Manual,Gasoline,2016,19000,White,[SALE] CS# GB6226 (WITHOUT PLATES),330000,Bacolod
Foton,Gratour,Manual,Gasoline,2016,6000,Silver,[SALE] CS# GB6004 (WITHOUT PLATES),256000,QC
Foton,Gratour,Manual,Gasoline,2016,24000,Gray,CS# GB4700 (WITHOUT PLATES),245000,Bacolod
Foton,Thunder,Manual,Diesel,2016,47000,White,[SALE] CS# GB6008 (WITHOUT PLATES),501000,Panabo
Foton,Thunder,Manual,Diesel,2016,30000,White,CS# GB5532 (WITHOUT PLATES),564000,Bacolod
Foton,Toplander,Manual,Diesel,2016,24000,Black,[SALE] CS# GB6325 (WITHOUT PLATES),735000,Bacolod
Foton,Tornado,Manual,Diesel,2016,41000,White,[SALE] ADM 7585 (WITHOUT PLATES),724000,Bacolod
Foton,Tornado,Manual,Diesel,2016,53000,White,[SALE] CS# GB5663 (WITHOUT PLATES),799000,QC
Ford,Ranger,Manual,Diesel,2015,82000,Cool White,[SALE] AXA 3896,841000,Bacolod
Foton,Gratour,Manual,Gasoline,2016,6000,Blue,[SALE] CS# GB4693 (WITHOUT PLATES),344000,Bacolod
Foton,Gratour,Manual,Gasoline,2016,6000,Blue,[SALE] CS# GB5529 (WITHOUT PLATE),317000,Bacolod
Foton,Gratour,Manual,Gasoline,2016,11000,Brown,[SALE] CS# GB4670 (WITHOUT PLATES),320000,Bacolod
Foton,Gratour,Manual,Gasoline,2017,43000,Silver,KAA 6058,224000,Panabo City
Foton,Thunder,Manual,Diesel,2016,62000,Black,CS# GB3418 (WITHOUT PLATES),554000,Bacolod
