brand,model,transmission,fuel_type,Year of Manufacture,mileage_in_km,color,plate_no,price,location
Hyundai,Grand,Automatic,Diesel,2018,7000,White,CS# MV0389 (WITHOUT PLATES),1742000,QC
Hyundai,Grand,Manual,Diesel,2017,23000,Creamy White,CS# MS5340 (WITHOUT PLATES),1086000,QC
Hyundai,Grand,Manual,Diesel,2016,23000,Creamy White,CS# MP8262 (WITHOUT PLATES),868000,QC
Hyundai,Grand,Manual,Diesel,2017,12000,Hyper Metallic,[SALE] CS# MS3871 (WITHOUT PLATES),1065000,QC
Hyundai,i20,Automatic,Gasoline,2016,32000,Sleek Silver,ADN 3967 CS# MO3961 (WITHOUT PLATES)ADN 3967 CS# MO3961 (WITHOUT PLATES),495000,Koronadal
Hyundai,Santa Fe,Automatic,Diesel,2016,71000,Blue,CS# MP2939 (WITHOUT PLATES),1044000,QC
Hyundai,Starex,Automatic,Diesel,2013,103000,Hyper Metallic,[SALE] WEI 280,873000,QC
Hyundai,Tucson,Automatic,Gasoline,2018,12000,Blue,CS# MV0971 (WITHOUT PLATES),1076000,QC
Hyundai,Tucson,Automatic,Gasoline,2016,27000,White,CS# MQ7918 (WITHOUT PLATES),815000,Bacolod
Hyundai,Tucson,Manual,Diesel,2016,57000,Titanium Silver,CS# MQ0548 (WITHOUT PLATES),735000,Fort Victoria
Hyundai,Tucson,Automatic,Diesel,2015,53000,Phantom Black,AHA 7294,671000,QC
Hyundai,Tucson,Automatic,Diesel,2009,102000,Aqua Silver,[SALE] NCI 263,410000,QC
Isuzu,Crosswind,Manual,Diesel,2013,155000,Glacial White,WID 964 (YELLOW PLATE),282000,QC
Hyundai,i10,Manual,Gasoline,2013,68000,Stone Beige,VRC 519,202000,QC
Hyundai,Santa Fe,Automatic,Diesel,2013,87000,Arabian Mocha,[SALE] LHG 402,699000,Davao
Hyundai,Santa Fe,Automatic,Diesel,2013,59000,Titanium Silver,[SALE] WNI 288,852000,QC
Hyundai,Tucson,Automatic,Gasoline,2016,14000,Platinum Silver,[SALE] CS# MO5368 (WITHOUT PLATES),873000,Panabo
Hyundai,Tucson,Automatic,Gasoline,2016,19000,Phantom Black,[SALE] CS# MQ7966 (WITHOUT PLATE),825000,Panabo
Hyundai,Tucson,Automatic,Gasoline,2016,52000,Phantom Black,[SALE] CS# MR0482 (WITHOUT PLATES),767000,QC
Hyundai,Tucson,Manual,Gasoline,2016,41000,Beige (OR/CRE) Milk Tea (PN/CHM),CS# MP3772 (WITHOUT PLATES),831000,QC
Hyundai,Tucson,Automatic,Diesel,2017,23000,Phantom Black,[SALE] CS# MT1848 (WITHOUT PLATES),1305000,QC
Hyundai,Tucson,Automatic,Gasoline,2013,48000,Silky Bronze,RNW 618,533000,Gen. Santos
Isuzu,D-max,Manual,Diesel,2013,27000,Ebony Black Mono,[SALE] WCI 251,676000,Cebu
Isuzu,MU-X,Manual,Diesel,2017,25000,Outback Brown,CS# CS0837 (WITHOUT PLATES),1060000,Taguig
Isuzu,MU-X,Automatic,Diesel,2016,44000,Titanium Silver,CS# CP6296 (WITHOUT PLATES),1097000,QC
Isuzu,NHR I-Van,Manual,Diesel,2014,207000,Arc White,[SALE] CS# CL0411 (WITHOUT PLATE),501000,YMCA (Manila)
JAC,Stallion,Manual,Diesel,2011,53000,Blue,ATA 7752,192000,Panabo
Kia,Carens,Automatic,Diesel,2014,48000,Cherry Black,[SALE] ABB 7734,788000,Cagayan De Oro
Kia,Forte,Automatic,Gasoline,2015,31000,Aurora Black,ADN 4899 (WITHOUT PLATES),499000,Cebu
Kia,K2700,Manual,Diesel,2015,87000,Clear White,AIA 1847,597000,Taguig
Kia,Picanto,Manual,Gasoline,2018,22000,Titanium Silver,CS# EH5394 (WITHOUT PLATES),426000,Koronadal
Kia,Picanto,Automatic,Gasoline,2017,3000,Alice Blue,CS# EG9699 (WITHOUT PLATES),373000,Cebu
Kia,Picanto,Manual,Gasoline,2017,27000,Titanium Silver,CS# EH2158 (WITHOUT PLATES),325000,QC
Isuzu,MU-X,Automatic,Diesel,2016,75000,Cosmic Black Mica,[SALE] WITHOUT PLATE,1203000,QC
Isuzu,MU-X,Automatic,Diesel,2018,29000,Cosmic Black Mica,CS# D0 I302 (WITHOUT PLATES),1278000,Panabo
Isuzu,NHRNT Flexi Truck,Manual,Diesel,2017,53000,White,KAA 3663,990000,Panabo
Jeep,Commander,Automatic,Gasoline,2008,52000,Steel Blue,[SALE] ZPE 871,820000,QC
Kia,Carnival,Manual,Diesel,2013,162000,Clear White,[SALE] WIL 547,400000,Gen. Santos
Kia,K2500,Manual,Diesel,2018,37000,Clear White,CS# EH5142 (WITHOUT PLATES),890000,Panabo City
Kia,Picanto,Manual,Gasoline,2016,8000,Signal Red,GAA 6262,261000,Bacolod (De Luzuriaga)
Kia,Picanto,Automatic,Gasoline,2018,14000,Celestial Blue,CS# EH6099 (WITHOUT PLATES),586000,QC
Kia,Picanto,Manual,Gasoline,2016,11000,Cherry Pink,CS# EG7543 (WITHOUT PLATES),272000,Cebu
Kia,Rio,Manual,Gasoline,2013,205000,Clear White,FWV 684 (YELLOW PLATE),103000,Bacolod
Kia,Rio,Automatic,Gasoline,2015,24000,Wendy Brown,AJA 9346,379000,QC
Kia,Rio,Manual,Gasoline,2013,70000,Signal Red,YLM 612,245000,Cebu
Kia,Rio,Manual,Gasoline,2010,,Clear White,PIJ 540,94000,QC
Kia,Soul,Manual,Diesel,2018,13000,Inferno Red,CS# EH4058 (WITHOUT PLATES),831000,Bacolod
Kia,Sportage,Automatic,Gasoline,2013,32000,Mineral Silver,WIA 854,564000,Panabo City
Kia,Sportage,Automatic,Gasoline,2015,,Black,[SALE] ABP 1270,639000,QC
Mazda,2,Automatic,Gasoline,2017,35000,Titanium Flash,CS# RK5088 (WITHOUT PLATES),703000,QC
Mazda,3,Automatic,Gasoline,2016,23000,Aluminum Metallic,CS# RK0109 (WITHOUT PLATES),546000,Bacolod
Mazda,BT-50,Automatic,Diesel,2016,15000,Cool White,[SALE] ACU 4314 (TEMPORARY PLATE) / CS# RJ7499 (WITHOUT PLATE),937000,Panabo City
Mazda,BT-50,Manual,Diesel,2016,16000,Cool White,[SALE] CS# RJ7966 (WITHOUT PLATES),927000,QC
Kia,Rio,Automatic,Gasoline,2016,64000,Bright Silver,AEB 4174,426000,Cebu
Kia,Rio,Manual,Gasoline,2015,115000,Bright Silver,AAG 6185,267000,Panabo City
Kia,Sorento,Automatic,Gasoline,2011,36000,Clear White,[SALE] YKE 213,554000,QC
Kia,Sportage,Automatic,Gasoline,2012,87000,Clear White,[SALE] TQF 757,501000,QC
Kia,Sportage,Automatic,Gasoline,2013,34000,Sand Track,WIA 655,564000,Cagayan De Oro
Lifan,620 LF,Manual,Gasoline,2014,8000,Black,ARA 6202,181000,QC
Mazda,3,Automatic,Gasoline,2019,10000,Snowflake White Pearl,CS# O0 F632 (WITHOUT PLATES),938000,QC
Mazda,BT,Manual,Diesel,2016,31000,Titanium Gray,[SALE] CS# RJ8533 (WITHOUT PLATES),873000,Panabo City
Mazda,BT-50,Manual,Diesel,2016,27000,Highlight Silver,CS# RJ7945 (WITHOUT PLATES),788000,Panabo
Mazda,BT-50,Manual,Diesel,2016,46000,Highlight Silver,[SALE] ACU 5684 (TEMPORARY PLATES),852000,Koronadal
Mazda,BT-50,Automatic,Diesel,2015,95000,Copper Red,ABM 4135,852000,Bacolod
Mazda,CX-5,Automatic,Gasoline,2016,14000,Soul Red,[SALE] AAG 6519,1116000,Gen. Santos
Mercedes-Benz,C180,Automatic,Gasoline,2011,33000,Black,[SALE] POS 559,1193000,QC
Mitsubishi,Adventure,Manual,Diesel,2014,21000,Nimbus Gray,AAK 4597,464000,YMCA (Manila)
Mitsubishi,Adventure,Manual,Diesel,2017,19000,Polar White,CS# NS9404 (WITHOUT PLATES),581000,QC
Mitsubishi,Adventure,Manual,Diesel,2012,232000,Dominic Silver / Verona Silver,TQH 637,234000,QC
Mitsubishi,Adventure,Manual,Diesel,2015,217000,Polar White,ABQ 5770,410000,QC
Mitsubishi,Adventure,Manual,Diesel,2013,205000,Citadel Red,WIQ 374,309000,QC
Mitsubishi,Adventure,Manual,Diesel,2015,125000,Polar White,ABW 3115,410000,Fort Victoria
Mitsubishi,Adventure,Manual,Diesel,2017,8000,Cool Silver,CS# B1 Y293 (WITHOUT PLATES),639000,Koronadal
Mazda,CX-5,Automatic,Gasoline,2012,69000,Sky Blue MC,UCI 721,575000,Bacolod
Mazda,CX-7,Automatic,Gasoline,2011,88000,Aluminum Metallic,[SALE] TFO 451,435000,Panabo
Mitsubishi,Adventure,Manual,Diesel,2016,59000,Kinetic Blue / Verona Silver,AAD 5065,501000,QC
Mitsubishi,Adventure,Manual,Diesel,2015,59000,Black,AKA 5724 / CS# NF6490,490000,QC
Mitsubishi,Adventure,Manual,Diesel,2016,42000,Soporific Black,[SALE] ACI 8136 (WITHOUT PLATES),618000,QC
Mitsubishi,Adventure,Manual,Diesel,2015,102000,Polar White,AHA 7150,437000,QC
Mitsubishi,Adventure,Manual,Diesel,2016,34000,Nimbus Gray,CS# NN3319 (w/o plate),586000,QC
Mitsubishi,Adventure,Manual,Diesel,2014,92000,Soporific Black,AAD 4560,170000,Bacolod
Mitsubishi,Adventure,Manual,Diesel,2016,83000,Kinetic Blue,[SALE] CS# NN9185 (WITHOUT PLATES),533000,Bacolod
Mitsubishi,Adventure,Manual,Diesel,2017,136000,Majestic Red,CS# NS2971 (WITHOUT PLATES),522000,Fort Victoria
Mitsubishi,Adventure,Manual,Diesel,2012,128000,White,[SALE] UQT 271,362000,QC
Mitsubishi,L300,Manual,Diesel,2017,7000,Polar White,CS# NR5816 (WITHOUT PLATES),671000,Taguig
Mitsubishi,L300,Manual,Diesel,2017,6000,Polar White,CS# B1 Z436 (WITHOUT PLATES),671000,QC
Mitsubishi,L300,Manual,Diesel,2016,61000,Polar White,NCF 7857,533000,YMCA (Manila)
Mitsubishi,L300,Manual,Diesel,2014,64000,Polar White,AAZ 2510,458000,YMCA (Manila)
Mitsubishi,Mirage,Automatic,Gasoline,2018,20000,Wine Red Pearl,CS# B2 Y976 (WITHOUT PLATES),480000,Bacolod
Mitsubishi,Mirage,Automatic,Gasoline,2015,27000,Medium Blue Mica,ABN 1110 / CS# NG5414 (WITHOUT PLATES),405000,Cagayan De Oro
Mitsubishi,Mirage,Automatic,Gasoline,2018,6000,Virgil Gray,CS# B2 P043 (WITHOUT PLATES),581000,QC
Mitsubishi,Mirage,Manual,Gasoline,2017,9000,Wine Red Pearl,CS# B2 H754 (WITHOUT PLATES),469000,Bacolod
Mitsubishi,Mirage,Automatic,Gasoline,2018,16000,Virgil Gray,CS# B3 A361 (WITHOUT PLATES),469000,QC
Mitsubishi,L200,Manual,Diesel,2005,155000,Silver,[SALE] FDE 163,153000,ONB Iloilo
Mitsubishi,L300,Manual,Diesel,2017,24000,Polar White,CS# B0 N979 (WITHOUT PLATES),645000,QC
Mitsubishi,L300,Manual,Diesel,2013,81000,Polar White,[SALE] CS# BV0652 (WITHOUT PLATES),261000,QC
Mitsubishi,L300,Manual,Diesel,2017,45000,Polar White,CS# NT3138 (WITHOUT PLATES),570000,Fort Victoria
Mitsubishi,Mirage,Automatic,Gasoline,2016,22000,Majestic Red,KDO 9906 / CS# NP1832,426000,Koronadal
Mitsubishi,Mirage,Automatic,Gasoline,2014,40000,Pyrenese Black,AAC 1166,290000,QC
Mitsubishi,Mirage,Automatic,Gasoline,2015,108000,Majestic Red,CS# NK8856 (WITHOUT PLATES),252000,QC
Mitsubishi,Mirage,Manual,Gasoline,2017,4000,Majestic Red,CS# B2 M141 (WITHOUT PLATES),373000,QC
Mitsubishi,Mirage,Automatic,Gasoline,2016,117000,Virgil Gray,CS# NM3100 (WITHOUT PLATES),299000,Fort Victoria
Mitsubishi,Mirage,Manual,Gasoline,2016,32000,Virgil Gray,CS# NR0483 (WITHOUT PLATES),346000,QC
Mitsubishi,Mirage,Manual,Gasoline,2016,68000,Virgil Gray,CS# NP1579 (WITHOUT PLATES),283000,QC
Mitsubishi,Mirage,Manual,Gasoline,2016,83000,Aurora White,CS# NM2497 (WITHOUT PLATES),265000,QC
Mitsubishi,Mirage,Automatic,Gasoline,2016,6000,Cool Silver,CS# NR2388 (WITHOUT PLATES),320000,QC
Mitsubishi,Mirage,Automatic,Gasoline,2016,46000,Pyrenese Black,ACV 3474,366000,Panabo City
Mitsubishi,Montero,Manual,Diesel,2017,37000,Savanna White,CS# NS4942 (WITHOUT PLATES),820000,Bacolod
Mitsubishi,Montero,Automatic,Diesel,2016,69000,Sedona Red,CS# NK7260 (WITHOUT PLATES),1257000,Bacolod
Mitsubishi,Montero,Automatic,Diesel,2018,33000,Titanium Gray,CS# B2 W624 (WITHOUT PLATES),1385000,QC
Mitsubishi,Montero,Automatic,Diesel,2012,54000,Brown (Actual) / Savanna White (PN),[SALE] UIU 783,501000,Panabo
Mitsubishi,Montero,Automatic,Diesel,2014,,Quartz Brown Metallic,[SALE] LHF 245,841000,Koronadal
Mitsubishi,Pajero,Automatic,Diesel,2013,144000,Grande White,[SALE] UQL 493,1385000,QC
Mitsubishi,Mirage,Manual,Gasoline,2016,,Aurora White,CS# NM2496 (WITHOUT PLATES),243000,QC
Mitsubishi,Mirage,Automatic,Gasoline,2017,18000,Virgil Gray,CS# B1 Q145 (WITHOUT PLATES),490000,QC
Mitsubishi,Mirage,Automatic,Gasoline,2016,22000,Savanna White,CS# NO4065 (WITHOUT PLATES),394000,QC
Mitsubishi,Mirage,Manual,Gasoline,2016,78000,Pyrenese Black,CS# NQ9399 (WITHOUT PLATES),293000,QC
Mitsubishi,Montero,Automatic,Diesel,2016,7000,Sedona Red,CS# NL2707 (WITHOUT PLATES),1215000,QC
Mitsubishi,Montero,Automatic,Diesel,2017,52000,Sedona Red,CS# NO7937 (WITHOUT PLATES),1215000,Taguig
Mitsubishi,Montero,Manual,Diesel,2015,36000,Virgil Gray,CS# NI5389 (WITHOUT PLATES),990000,Panabo
Mitsubishi,Montero,Manual,Diesel,2014,32000,Quartz Brown Metallic,ADA 7258,725000,QC
Mitsubishi,Montero,Manual,Diesel,2017,21000,Deep Brown Metallic,CS# B0 P610 (WITHOUT PLATES),1140000,QC
Mitsubishi,Pajero,Automatic,Diesel,2013,117000,Rio Grande White,[SALE] RNX 397,1193000,Gen. Santos
Mitsubishi,Strada,Manual,Diesel,2018,22000,Pearl White,CS# B2 W727 (WITHOUT PLATES),874000,QC
Mitsubishi,Strada,Manual,Diesel,2010,203000,Deep Black Mica,[SALE] LMP 316,650000,Panabo
Mitsubishi,Strada,Manual,Diesel,2015,79000,Rosita Red,CS# NH6203 (WITHOUT PLATES),863000,Gen. Santos
Mitsubishi,Xpander,Automatic,Gasoline,2019,11000,Jet Black Mica,NBD 5934,842000,QC
Nissan,Almera,Manual,Gasoline,2018,5000,Titanium Grey,CS# OY8198 (WITHOUT PLATES),596000,QC
Nissan,Almera,Manual,Gasoline,2016,22000,Titanium Gray,AEC 5819,320000,Cebu
Nissan,Almera,Manual,Gasoline,2018,26000,Brilliant Silver,CS# F0 I797 (WITHOUT PLATES),548000,QC
Nissan,Almera,Manual,Gasoline,2017,16000,Titanium Grey,CS# OW9927 (WITHOUT PLATES),371000,QC
Nissan,Frontier,Manual,Diesel,2013,261000,Crimson Red,UQU 712,458000,Bacolod
Nissan,Juke,Automatic,Gasoline,2017,20000,Pearl White,CS# OX1795 (WITHOUT PLATES),714000,QC
Mitsubishi,Strada,Automatic,Diesel,2018,12000,Red Solid,CS# B2 T417 (WITHOUT PLATES),927000,Taguig
Mitsubishi,Strada,Manual,Diesel,2013,50000,Rosita Red,RNX 530,767000,Gen. Santos
Mitsubishi,Strada,Manual,Diesel,2016,81000,Savanna White,[SALE] CS# NJ4556 (WITHOUT PLATES),756000,Panabo
Nissan,Almera,Manual,Gasoline,2017,17000,Titanium Grey,CS# OX5010 (WITHOUT PLATES),379000,Bacolod
Nissan,Almera,Automatic,Gasoline,2018,8000,Titanium Grey,CS# F0 E404 (WITHOUT PLATES),639000,Fort Victoria
Nissan,Almera,Automatic,Gasoline,2016,44000,Titanium Grey,CS# OV3582 (WITHOUT PLATES),431000,QC
Nissan,Almera,Automatic,Gasoline,2013,54000,Bluish Black,RMS 624,227000,QC
Nissan,Altima,Automatic,Gasoline,2015,16000,Aspen White,CS# VS4028 (WITHOUT PLATES),1044000,QC
Nissan,Frontier,Automatic,Diesel,2008,127000,Black,[SALE] ZSF 338,479000,QC
Nissan,NP300,Automatic,Diesel,2016,79000,Galaxy Black,[SALE] CS# OV6783 (WITHOUT PLATES),1172000,Panabo
Nissan,Patrol,Manual,Diesel,2008,130000,Pearl Black,[SALE] ZMS 552,873000,QC
Nissan,Sentra,Manual,Gasoline,2013,54000,Warm Silver,RNV 522,213000,QC
Nissan,Sylphy,Manual,Gasoline,2017,8000,Ebony Black,CS# OW7618 (WITHOUT PLATE),529000,QC
Nissan,Urvan,Manual,Diesel,2015,188000,Polar White,[SALE] ANA 5335,628000,YMCA (Manila)
Nissan,Urvan,Manual,Diesel,2016,217000,Alpine White,ABO 2451,682000,Panabo City
Nissan,Urvan,Manual,Diesel,2015,217000,Alpine White,[SALE] AAG 5516,676000,Panabo
Nissan,Urvan,Manual,Diesel,2018,6000,White,CS# F0 N973 (WITHOUT PLATES),1055000,QC
Nissan,Urvan,Automatic,Diesel,2018,27000,Brilliant Silver,CS# F0 G015 (WITHOUT PLATES),1454000,QC
Nissan,Urvan,Manual,Diesel,2015,138000,Polar White,[SALE] ANA 5166,585000,Cagayan De Oro
Nissan,Urvan,Manual,Diesel,2014,37000,Polar White,[SALE] AAM 1278,507000,QC
Nissan,Patrol,Automatic,Diesel,2012,213000,Platinum Silver,[SALE] UOW 290,1182000,Fort Victoria
Nissan,Sylphy,Manual,Gasoline,2016,59000,Aspen White,CS# OW1378 (WITHOUT PLATES),388000,Bacolod
Nissan,Sylphy,Manual,Gasoline,2016,29000,Deep Iris Gray,CS# OW5369 (WITHOUT PLATES),501000,Bacolod
Nissan,Urvan,Manual,Diesel,2016,140000,Alpine White,[SALE] CS# OV2275 (WITHOUT PLATES),852000,Panabo
Nissan,Urvan,Manual,Diesel,2017,42000,Alpine White,ADO 9925 CS# OX3054 (WITHOUT PLATES),1081000,Cagayan De Oro
Nissan,Urvan,Manual,Diesel,2018,5000,Brilliant Silver,CS# OY8549 (WITHOUT PLATES),1235000,Cebu
Nissan,Urvan,Manual,Diesel,2018,17000,Alpine White,CS# F0 U158 (WITHOUT PLATES),1002000,Taguig
Nissan,Urvan,Manual,Diesel,2015,70000,Polar White,[SALE] ABM 2023,643000,Bacolod
Nissan,Urvan,Manual,Diesel,2013,182000,Polar White,[SALE] UQU 116,335000,Fort Victoria
Nissan,Urvan,Manual,Diesel,2015,99000,Polar White,ABF 6274,533000,QC
Nissan,Urvan,Manual,Diesel,2015,98000,Polar White,[SALE] AEA 2569,512000,Cebu
Nissan,X-trail,Automatic,Gasoline,2016,15000,Fiery Red,[SALE] CS# OV2202 (WITHOUT PLATES),1172000,QC
Peugeot,3008,Automatic,Diesel,2014,32000,BourrasqueBlue,[SALE] AAS 1716,858000,Cagayan De Oro
Peugeot,301,Automatic,Gasoline,2016,7000,Bianca White,[SALE] CS# VT1507 (WITHOUT PLATES),783000,Cebu
Peugeot,RCZ,Automatic,Gasoline,2014,15000,Nera Black,[SALE] AAF 1424,1238000,Bacolod
Subaru,Forester,Automatic,Gasoline,2014,62000,Blue (OR/CRE) Marine Blue Pearl (PN/CHM),[SALE] ARA 3874,1006000,QC
Subaru,Forester,Automatic,Gasoline,2014,49000,White,[SALE] AFA 5689,852000,Gen. Santos
Subaru,Outback,Automatic,Gasoline,2016,26000,White,CS# HW5700 (WITHOUT PLATES),1577000,QC
Suzuki,APV,Manual,Gasoline,2019,11000,White,NAY 8189,426000,Cebu
Suzuki,Celerio,Automatic,Gasoline,2018,15000,Red,CS# G0 D267 (WITHOUT PLATES),495000,QC
Nissan,Urvan,Manual,Diesel,2015,193000,Polar White,ARA 1017,458000,Taguig
Peugeot,3008,Automatic,Diesel,2012,69000,Vapor Gray,[SALE] AAS 1498,799000,Cagayan De Oro
Peugeot,3008,Automatic,Diesel,2012,70000,Aluminum Gray,[SALE] AAS 1499,655000,Cagayan De Oro
Peugeot,301,Manual,Diesel,2015,40000,Bianca White,[SALE] CS# VT1056 (WITHOUT PLATES),543000,Panabo
Shenyang Jinbei,JBC,Manual,Diesel,2017,40000,White/Gray,[SALE] CS# ZW3017 (WITHOUT PLATES),746000,Cagayan De Oro
Subaru,Forester,Automatic,Gasoline,2014,57000,Green,[SALE] ACA 1549,954000,QC
Subaru,Forester,Automatic,Gasoline,2014,98000,Ice Silver Metallic,[SALE] AAW 8812,929000,QC
Subaru,XV,Automatic,Gasoline,2015,19000,Jasmine Green Metallic,[SALE] AAE 3635,851000,Panabo
Suzuki,Celerio,Automatic,Gasoline,2018,20000,Red,CS# G0 Y591 (WITHOUT PLATES),405000,Bacolod
Suzuki,Ciaz,Automatic,Gasoline,2016,22000,Black,CS# UE3172 (WITHOUT PLATES),448000,Panabo
Suzuki,Ciaz,Automatic,Gasoline,2018,8000,Gray,CS# G0 T381 (WITHOUT PLATES),512000,QC
Suzuki,Ciaz,Automatic,Gasoline,2018,11000,Black,CS# G0 K132 (WITHOUT PLATES),517000,QC
Suzuki,Ciaz,Automatic,Gasoline,2016,33000,Brown,CS# UD9877 (WITHOUT PLATES),478000,QC
Suzuki,Ciaz,Automatic,Gasoline,2017,31000,Gray,CS# UE6178 (WITHOUT PLATES),537000,Panabo
Suzuki,Ciaz,Automatic,Gasoline,2017,15000,Pearl Snow White,CS# UE6172 (WITHOUT PLATES),529000,QC
Suzuki,Ciaz,Automatic,Gasoline,2017,11000,White,ADO 9628 (VIRTUAL PLATE) / CS# UE7501 (WITHOUT PLATES),550000,Panabo
Suzuki,Ertiga,Manual,Gasoline,2018,22000,Gray,CS# G0 P727 (WITHOUT PLATES),628000,Bacolod
Suzuki,Ertiga,Manual,Gasoline,2016,42000,Silver,[SALE] CS# UD1174 (WITHOUT PLATES),463000,Panabo
Suzuki,Ertiga,Manual,Gasoline,2017,28000,White,[SALE] ADO 8084 CS# UE4862 (WITHOUT PLATES),533000,Koronadal
Suzuki,Ertiga,Manual,Gasoline,2016,45000,Brown,CS# UD6219 (WITHOUT PLATES),479000,Fort Victoria
Suzuki,Ciaz,Automatic,Gasoline,2018,10000,Prime Dignity Brown,CS# G0 D575 (WITHOUT PLATES),501000,QC
Suzuki,Ciaz,Automatic,Gasoline,2019,2000,Gray,NBE 8466,586000,QC
Suzuki,Ciaz,Automatic,Gasoline,2017,18000,Silver,CS# UF2635 (WITHOUT PLATES),588000,Cebu
Suzuki,Ciaz,Manual,Gasoline,2018,16000,Black,CS# G0 M449 (WITHOUT PLATES),469000,QC
Suzuki,Ciaz,Automatic,Gasoline,2016,44000,White,CS# UE3096 (WITHOUT PLATES),520000,QC
Suzuki,Ertiga,Manual,Gasoline,2017,20000,Red,CS# UF7455 (WITHOUT PLATES),522000,QC
Suzuki,Ertiga,Automatic,Gasoline,2015,59000,Silver,AMA 9084,490000,Bacolod
Suzuki,Ertiga,Manual,Gasoline,2016,48000,Silver Metallic,[SALE] CS# UE3256 (WITHOUT PLATES),469000,Panabo City
Suzuki,Ertiga,Automatic,Gasoline,2018,16000,Silver,CS# G0 I298 (WITHOUT PLATES),724000,Panabo
Suzuki,Ertiga,Manual,Gasoline,2017,15000,Red,[SALE] CS# G0 A191 (WITHOUT PLATES),559000,QC
Suzuki,Ertiga,Manual,Gasoline,2016,28000,Dusky Brown Metallic,[SALE] CS# UD3930 (WITHOUT PLATES),533000,Bacolod
Suzuki,Ertiga,Automatic,Gasoline,2017,8000,White,[SALE] CS# UF1421 (WITHOUT PLATES),772000,Panabo
Suzuki,Grand Vitara,Automatic,Gasoline,2016,96000,Black,CS# UD6541 (WITHOUT PLATES),660000,Cagayan De Oro
Suzuki,Grand Vitara,Automatic,Gasoline,2016,7000,Bison Brown Pearl Metallic,[SALE] CS# UD6655 (WITHOUT PLATE),760000,Davao
Suzuki,Grand Vitara,Automatic,Gasoline,2016,40000,Granite Gray,[SALE] CS# UD6558 (WITHOUT PLATES),714000,QC
Suzuki,Grand Vitara,Automatic,Gasoline,2017,10000,Prime Gaia Bronze,[SALE] CS# UF1656 (WITHOUT PLATES),927000,Cebu
Suzuki,Grand Vitara,Automatic,Gasoline,2016,9000,White,[SALE] AEC 8086 (TEMPORARY PLATE),769000,QC
Suzuki,Grand Vitara,Automatic,Gasoline,2017,25000,Bronze,[SALE] CS# UE5387 (WITHOUT PLATES),921000,QC
Suzuki,Jimny,Automatic,Gasoline,2016,42000,Black,CS# UD5305 (WITHOUT PLATES),639000,QC
Suzuki,Swift,Automatic,Gasoline,2016,31000,Red,ACU 5469 (VIRTUAL PLATES),415000,Cagayan De Oro
Suzuki,Ertiga,Automatic,Gasoline,2017,14000,Burgundy Red Pearl,FAA 6644,639000,Bacolod
Suzuki,Ertiga,Manual,Gasoline,2017,25000,White,[SALE] CS# UF4397 (WITHOUT PLATES),618000,Panabo
Suzuki,Grand Vitara,Automatic,Gasoline,2017,19000,Brown,CS# UF2062 (WITHOUT PLATES),714000,QC
Suzuki,Grand Vitara,Automatic,Gasoline,2016,39000,Black,CS# UD5340 (WITHOUT PLATES),714000,Panabo City
Suzuki,Grand Vitara,Automatic,Gasoline,2017,65000,White,CS# UE3278 (WITHOUT PLATES),639000,Fort Victoria
Suzuki,Grand Vitara,Automatic,Gasoline,2017,13000,Bronze,[SALE] CS# UF2067 (WITHOUT PLATES),996000,QC
Suzuki,Grand Vitara,Automatic,Gasoline,2016,27000,White,[SALE] CS# UD9378 (WITHOUT PLATES),841000,Bacolod
Suzuki,Grand Vitara,Automatic,Gasoline,2015,64000,Bronze,[SALE] CS# UC6821 (WITHOUT PLATES),559000,QC
Suzuki,Kizashi,Automatic,Gasoline,2013,28000,Snow White,LHL 383,317000,Panabo
Suzuki,Swift,Automatic,Gasoline,2015,16000,Blazing Pearl Red,ABC 3850 (WITHOUT PLATE),274000,Koronadal
Suzuki,Swift,Automatic,Gasoline,2015,45000,Arctic White Pearl Metallic,ANA 5479,324000,Cagayan De Oro
Suzuki,Swift,Automatic,Gasoline,2016,89000,Black,CS# UD4880 (WITHOUT PLATES),352000,Panabo City
Suzuki,Swift,Manual,Gasoline,2017,21000,Glistening Grey Metallic,CS# UF3939 (WITHOUT PLATES),490000,QC
Suzuki,Swift,Manual,Gasoline,2015,61000,Glistening Gray Metallic,ABC 3242,309000,Koronadal
Tata,Indigo,Manual,Diesel,2017,5000,White,CS# PT1712 (WITHOUT PLATES),266000,QC
Tata,Manza,Manual,Gasoline,2016,2000,Gray,CS# PT1135 (WITHOUT PLATES),290000,QC
Toyota,Avanza,Automatic,Gasoline,2016,66000,Black Metallic,ABQ 1637,533000,Taguig
Toyota,Avanza,Manual,Gasoline,2017,23000,Nebula Blue Metallic,CS# VZ2124 (WITHOUT PLATES),650000,Fort Victoria
Toyota,Corolla,Automatic,Gasoline,2013,34000,Attitude Black,[SALE] WPI 212,405000,Fort Victoria
Toyota,Corolla,Automatic,Gasoline,2013,61000,White Pearl,WSO 322,490000,QC
Suzuki,Swift,Automatic,Gasoline,2016,23000,Red,CS# UE2558 (WITHOUT PLATES),458000,Gen. Santos
Suzuki,Swift,Manual,Gasoline,2015,66000,Blue,ABI 1224,309000,QC
Suzuki,Swift,Automatic,Gasoline,2016,29000,Pacific Blue,CS# UD0798 (WITHOUT PLATES),426000,Bacolod
Suzuki,SX4,Automatic,Gasoline,2013,62000,Black,AAR 4391,290000,Cebu
